trial,H1,C1,L1_after_P1,p1_in_tokyo_after_P1,P2_mode,C2,L1_after_P2,P3_hits_P1,C3,P1_survives
99,2,0,4,False,Tokyo/clawmax,3.0,1,False,,True
100,4,0,6,False,Tokyo/clawmax,1.0,5,False,,True
101,1,0,3,False,Tokyo/clawmax,3.0,0,False,,False
102,1,1,3,False,Tokyo/clawmax,3.0,0,False,,False
103,2,0,4,False,Tokyo/clawmax,5.0,-1,False,,False
104,4,1,6,False,Tokyo/clawmax,4.0,2,False,,True
105,5,0,7,False,Tokyo/clawmax,1.0,6,False,,True
106,4,0,6,False,Tokyo/clawmax,3.0,3,False,,True
107,4,0,6,False,Tokyo/clawmax,2.0,4,False,,True
108,3,0,5,False,Tokyo/clawmax,2.0,3,False,,True
109,0,1,2,False,Tokyo/clawmax,3.0,-1,False,,False
110,2,0,4,False,Tokyo/clawmax,5.0,-1,False,,False
111,3,0,5,False,Tokyo/clawmax,3.0,2,False,,True
112,2,0,4,False,Tokyo/clawmax,1.0,3,False,,True
113,5,0,7,False,Tokyo/clawmax,3.0,4,False,,True
114,2,0,4,False,Tokyo/clawmax,2.0,2,False,,True
115,5,0,7,False,Tokyo/clawmax,2.0,5,False,,True
116,4,1,6,False,Tokyo/clawmax,4.0,2,False,,True
117,2,0,4,False,Tokyo/clawmax,3.0,1,False,,True
118,2,2,1,False,Tokyo/clawmax,,1,False,,True
119,3,2,5,True,Outside/heartmax,,5,True,4.0,True
120,2,1,4,False,Tokyo/clawmax,0.0,4,False,,True
121,2,1,4,False,Tokyo/clawmax,3.0,1,False,,True
122,2,0,4,False,Tokyo/clawmax,2.0,2,False,,True
123,6,0,8,False,Tokyo/clawmax,3.0,5,False,,True
124,2,0,4,False,Tokyo/clawmax,1.0,3,False,,True
125,1,1,3,False,Tokyo/clawmax,2.0,1,False,,True
126,3,0,5,False,Tokyo/clawmax,4.0,1,False,,True
127,2,0,4,False,Tokyo/clawmax,3.0,1,False,,True
128,3,0,5,False,Tokyo/clawmax,1.0,4,False,,True
129,1,1,3,False,Tokyo/clawmax,3.0,0,False,,False
130,3,0,5,False,Tokyo/clawmax,1.0,4,False,,True
131,4,0,6,False,Tokyo/clawmax,3.0,3,False,,True
132,4,0,6,False,Tokyo/clawmax,3.0,3,False,,True
133,4,0,6,False,Tokyo/clawmax,3.0,3,False,,True
134,2,0,4,False,Tokyo/clawmax,3.0,1,False,,True
135,2,0,4,False,Tokyo/clawmax,1.0,3,False,,True
136,4,1,6,False,Tokyo/clawmax,3.0,3,False,,True
137,3,0,5,False,Tokyo/clawmax,3.0,2,False,,True
138,4,0,6,False,Tokyo/clawmax,3.0,3,False,,True
139,0,0,2,False,Tokyo/clawmax,4.0,-2,False,,False
140,4,0,6,False,Tokyo/clawmax,3.0,3,False,,True
141,1,1,3,False,Tokyo/clawmax,1.0,2,False,,True
142,2,1,4,False,Tokyo/clawmax,2.0,2,False,,True
143,3,1,5,False,Tokyo/clawmax,2.0,3,False,,True
144,3,1,5,False,Tokyo/clawmax,2.0,3,False,,True
145,4,0,6,False,Tokyo/clawmax,2.0,4,False,,True
146,2,0,4,False,Tokyo/clawmax,2.0,2,False,,True
147,4,0,6,False,Tokyo/clawmax,2.0,4,False,,True
148,0,2,2,True,Outside/heartmax,,2,True,1.0,True
149,1,0,3,False,Tokyo/clawmax,3.0,0,False,,False
150,4,1,6,False,Tokyo/clawmax,5.0,1,False,,True
151,1,1,3,False,Tokyo/clawmax,1.0,2,False,,True
152,1,0,3,False,Tokyo/clawmax,3.0,0,False,,False
153,3,0,5,False,Tokyo/clawmax,3.0,2,False,,True
154,2,0,4,False,Tokyo/clawmax,3.0,1,False,,True
